ResponseId,Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,Currency,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,annual_salary_usd
10100,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,6.0,"Developer, full-stack",20 to 99 employees,Individual contributor,Remote,Other:,Poland,PLN Polish zloty,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;Lua;TypeScript,PostgreSQL,26198.0
1011,35-44 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15.0,15.0,"Developer, desktop or enterprise applications",,,,Software Development,Pakistan,USD United States dollar,Bash/Shell (all shells);C;C#;HTML/CSS;Java;JavaScript;SQL,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,6000.0
10137,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,5.0,"Developer, desktop or enterprise applications",20 to 99 employees,Individual contributor,In-person,Other:,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,C#;HTML/CSS;JavaScript;Python;SQL;Swift,Microsoft SQL Server,36758.0
10138,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,21.0,"Developer, back-end",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Hungary,HUF	Hungarian forint,HTML/CSS;JavaScript;PHP;PowerShell;SQL,BigQuery;MySQL;PostgreSQL;Redis;SQLite,52050.0
1015,65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",28.0,35.0,"Developer, back-end",,,,Healthcare,Canada,CAD Canadian dollar,C++,,145917.0
10151,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,7.0,DevOps engineer or professional,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belgium,EUR European Euro,Bash/Shell (all shells);C#;Dart;HTML/CSS;JavaScript;Lua;PowerShell;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,51511.0
10164,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,17.0,"Developer, embedded applications or devices",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,Microsoft SQL Server;PostgreSQL,98158.0
10178,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,12.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,France,EUR European Euro,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,BigQuery;Elasticsearch;MongoDB;MySQL,55687.0
10189,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,18.0,"Developer, back-end","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Czech Republic,CZK	Czech koruna,,,56167.0
10192,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,26.0,40.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Netherlands,EUR European Euro,Bash/Shell (all shells);C#;C++;Python;SQL;Visual Basic (.Net),Microsoft SQL Server;SQLite,89868.0
1020,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,1.0,2.0,"Developer, desktop or enterprise applications",100 to 499 employees,Individual contributor,In-person,Software Development,Russian Federation,RUB	Russian ruble,Java;SQL,Oracle;PostgreSQL,19139.0
10224,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,30.0,40.0,"Developer, front-end",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;TypeScript,MariaDB;MongoDB;Redis;SQLite,76570.0
10237,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12.0,15.0,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,PostgreSQL;Redis,66128.0
10244,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,29.0,34.0,"Developer, desktop or enterprise applications","1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Germany,EUR European Euro,C#,Microsoft SQL Server,99773.0
10246,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,10.0,"Developer, full-stack","10,000 or more employees",Individual contributor,Remote,Other:,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,C#;HTML/CSS;JavaScript;Python;TypeScript,Dynamodb;Snowflake,149756.0
10264,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",10.0,11.0,"Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",Individual contributor,Remote,Software Development,Poland,PLN Polish zloty,,,136450.0
10280,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",13.0,15.0,"Developer, mobile",,,,Retail and Consumer Services,Spain,EUR European Euro,Go;HTML/CSS;JavaScript;Kotlin;PHP;SQL;Swift;TypeScript,,127616.0
10282,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,10.0,"Developer, mobile",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,Bash/Shell (all shells);Groovy;Java;Kotlin;Python;SQL,SQLite,61264.0
10287,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Not employed,7.0,8.0,"Developer, back-end",,,,,"Iran, Islamic Republic of...",IRR	Iranian rial,Go;Java,Cassandra;Elasticsearch;H2;MySQL;Redis,7122.0
1029,35-44 years old,Some college/university study without earning a degree,Employed,12.0,15.0,"Developer, back-end",500 to 999 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",Poland,PLN Polish zloty,,Databricks SQL;PostgreSQL;Redis;SQLite,68225.0
10308,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,9.0,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript;VBA,MariaDB;MongoDB;MySQL;Redis;SQLite;Valkey,39445.0
10317,45-54 years old,Other (please specify):,Employed,15.0,20.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,Germany,EUR European Euro,HTML/CSS;JavaScript;PowerShell,,51046.0
10324,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,10.0,"Developer, embedded applications or devices",I don’t know,Individual contributor,Remote,Software Development,United Kingdom of Great Britain and Northern Ireland,GBP Pound sterling,,,98703.0
10328,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,16.0,20.0,"Developer, game or graphics",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Sweden,SEK	Swedish krona,C;C#;C++;Rust,,78616.0
10332,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",24.0,28.0,"Developer, back-end",,,,"Transportation, or Supply Chain",Austria,EUR European Euro,C#;SQL,Microsoft SQL Server,185623.0
10340,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,7.0,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Mauritania,MRU	Mauritanian ouguiya,HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;PostgreSQL,121570.0
10344,35-44 years old,Other (please specify):,Employed,16.0,21.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;Microsoft Access;MongoDB;MySQL,72672.0
1035,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,4.0,"Developer, full-stack","10,000 or more employees",Individual contributor,In-person,Software Development,Philippines,PHP	Philippine peso,HTML/CSS;Java;JavaScript;PHP;TypeScript,MongoDB;MySQL;PostgreSQL,13169.0
10356,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,20.0,30.0,"Developer, back-end",,,,,Hungary,HUF	Hungarian forint,Bash/Shell (all shells);JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Cassandra;PostgreSQL;SQLite,156149.0
10358,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,7.0,,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Germany,EUR European Euro,Python;R,BigQuery;DuckDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Snowflake,81210.0
10359,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",39.0,43.0,"Developer, full-stack",,,,Healthcare,Ireland,EUR European Euro,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft Access;Microsoft SQL Server,116015.0
10374,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,18.0,Data engineer,"10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;C++;Java;Rust;Scala;SQL;TypeScript,Cassandra;Elasticsearch;Neo4J;PostgreSQL;Snowflake;Cockroachdb,570000.0
1038,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Retail and Consumer Services,Germany,EUR European Euro,Bash/Shell (all shells);C;HTML/CSS;Python;Scala;SQL,BigQuery;Databricks SQL;MariaDB;PostgreSQL;Amazon Redshift,139218.0
10380,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,25.0,30.0,"Developer, full-stack",I don’t know,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Perl;SQL;TypeScript,DuckDB;MariaDB;Oracle;PostgreSQL;Redis;SQLite,190000.0
10381,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,6.0,"Developer, back-end",Less than 20 employees,Individual contributor,In-person,Media & Advertising Services,France,EUR European Euro,C#,Microsoft SQL Server,35965.0
10383,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,27.0,35.0,"Developer, full-stack",20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Australia,AUD	Australian dollar,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Kotlin;Lua;Python;Ruby;Rust;SQL;Swift;TypeScript,BigQuery;Cloud Firestore;Dynamodb;Elasticsearch;Firebase Realtime Database;PostgreSQL;Redis;SQLite,149522.0
10389,25-34 years old,Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",15.0,15.0,"Founder, technology or otherwise",Less than 20 employees,Individual contributor,Remote,Computer Systems Design and Services,Portugal,EUR European Euro,Bash/Shell (all shells);C;C++;HTML/CSS;Lisp;Lua;OCaml;Python,DuckDB;PostgreSQL;SQLite,139218.0
10407,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,8.0,7.0,"Developer, full-stack",500 to 999 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Belarus,USD United States dollar,Bash/Shell (all shells);JavaScript;PHP;TypeScript,MySQL;PostgreSQL,55000.0
1041,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,11.0,14.0,"Developer, full-stack",100 to 499 employees,Individual contributor,Remote,Software Development,Brazil,BRL Brazilian real,HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,,13107.0
10423,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,20.0,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,Remote,Software Development,Germany,EUR European Euro,C#;SQL,Elasticsearch;Microsoft SQL Server,116015.0
1044,55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",41.0,42.0,"Developer, full-stack",,,,Software Development,Brazil,BRL Brazilian real,C#;PHP,MariaDB;PostgreSQL;SQLite,36407.0
10443,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,21.0,25.0,"Architect, software or solutions","10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server,150000.0
10448,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,15.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Other:,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;TypeScript,InfluxDB;MariaDB;PostgreSQL;Redis;SQLite,71465.0
1046,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,16.0,22.0,"Developer, back-end","1,000 to 4,999 employees",Individual contributor,Remote,Software Development,Canada,CAD Canadian dollar,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Databricks SQL;Elasticsearch;MySQL;Redis;SQLite,248058.0
10461,35-44 years old,Some college/university study without earning a degree,Employed,12.0,25.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,Germany,EUR European Euro,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MariaDB;MySQL;PostgreSQL,69609.0
1048,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,1.0,6.0,"Developer, full-stack",20 to 99 employees,,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Finland,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Cosmos DB;InfluxDB;MySQL;PostgreSQL,49886.0
10505,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,25.0,25.0,"Architect, software or solutions",Less than 20 employees,People manager,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,Brazil,BRL Brazilian real,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;Valkey,21844.0
10512,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,9.0,"Developer, full-stack",Less than 20 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Retail and Consumer Services,Sweden,SEK	Swedish krona,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,MySQL;PostgreSQL;Supabase,41929.0
10518,55-64 years old,,Employed,40.0,48.0,Product manager,Less than 20 employees,Individual contributor,Remote,Higher Education,United States of America,USD United States dollar,Bash/Shell (all shells);C;C++;Elixir;JavaScript;Lua,Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,210000.0
10531,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,16.0,23.0,Engineering manager,500 to 999 employees,People manager,Remote,Fintech,Brazil,BRL Brazilian real,Elixir;Erlang;HTML/CSS;Lua;Python;Ruby,BigQuery;PostgreSQL,101941.0
10540,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,12.0,12.0,"Architect, software or solutions","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Microsoft Access;Oracle;Redis,83531.0
10549,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,8.0,10.0,Academic researcher,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Germany,EUR European Euro,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;TypeScript,H2;Neo4J;Redis;SQLite,75410.0
10571,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,10.0,"Developer, full-stack","10,000 or more employees",People manager,"Hybrid (some in-person, leans heavy to flexibility)",Healthcare,United States of America,USD United States dollar,HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,85000.0
10572,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",17.0,22.0,"Senior executive (C-suite, VP, etc.)",20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,"Iran, Islamic Republic of...",IRR	Iranian rial,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,712166.0
1058,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,18.0,"Developer, desktop or enterprise applications","10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,USD United States dollar,JavaScript;PowerShell;Rust;TypeScript,,200000.0
10590,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,30.0,"Developer, back-end","10,000 or more employees",Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C++;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,500000.0
1062,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,16.0,"Developer, front-end","10,000 or more employees",Individual contributor,Remote,Insurance,Germany,EUR European Euro,HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,92812.0
10636,35-44 years old,Some college/university study without earning a degree,Employed,7.0,10.0,"Developer, full-stack",100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,Canada,CAD Canadian dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,MariaDB;MySQL,56908.0
10637,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,23.0,42.0,"Developer, back-end",20 to 99 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,Bash/Shell (all shells);Elixir;Erlang;Go;HTML/CSS;JavaScript;Lua;Python;TypeScript,DuckDB;PostgreSQL;Redis;Valkey,160000.0
10648,25-34 years old,Some college/university study without earning a degree,Employed,7.0,9.0,"Developer, full-stack",Less than 20 employees,Individual contributor,Remote,Software Development,United States of America,USD United States dollar,C#;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;PostgreSQL,80000.0
10669,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,13.0,"Developer, back-end",100 to 499 employees,Individual contributor,Remote,Software Development,India,INR Indian rupee,Bash/Shell (all shells);Java;JavaScript;Python;Rust;SQL,MongoDB;PostgreSQL;Redis;Snowflake;SQLite,75556.0
10680,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,1.0,2.0,"Developer, full-stack",100 to 499 employees,Individual contributor,In-person,Other:,United States of America,USD United States dollar,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;Kotlin;PowerShell;SQL;Swift;TypeScript,Microsoft SQL Server;PostgreSQL;Redis,88000.0
10687,45-54 years old,Some college/university study without earning a degree,Employed,22.0,25.0,"Developer, mobile",100 to 499 employees,Individual contributor,Remote,Software Development,Spain,EUR European Euro,Java;Kotlin;Python;Swift,Cloud Firestore;MariaDB;Microsoft SQL Server;Oracle;PostgreSQL;SQLite,34804.0
10689,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,2.0,16.0,DevOps engineer or professional,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,USD United States dollar,Bash/Shell (all shells);C++;HTML/CSS;Rust,,107000.0
10691,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,5.0,8.0,"Developer, mobile","1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Poland,PLN Polish zloty,Swift,,65496.0
10697,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,5.0,Other (please specify):,20 to 99 employees,Individual contributor,In-person,Banking/Financial Services,United States of America,USD United States dollar,Python,,40000.0
10704,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",13.0,20.0,"Developer, full-stack",,,,Fintech,Portugal,EUR European Euro,C#;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,83531.0
10710,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,11.0,"Developer, back-end",Less than 20 employees,Individual contributor,In-person,Retail and Consumer Services,Netherlands,EUR European Euro,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,48726.0
10731,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,17.0,17.0,"Developer, front-end","10,000 or more employees",Individual contributor,Remote,"Internet, Telecomm or Information Services",South Africa,ZAR	South African rand,HTML/CSS;JavaScript,,62017.0
10740,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,14.0,20.0,"Developer, front-end","5,000 to 9,999 employees",Individual contributor,Remote,Software Development,India,INR Indian rupee,HTML/CSS;JavaScript;TypeScript,,29060.0
10747,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,13.0,"Architect, software or solutions",20 to 99 employees,Individual contributor,Remote,Software Development,Brazil,BRL Brazilian real,Bash/Shell (all shells);Dart;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,MongoDB;MySQL;PostgreSQL,89198.0
10748,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,9.0,13.0,"Developer, full-stack","10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,India,INR Indian rupee,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Oracle;PostgreSQL,37197.0
10751,25-34 years old,Some college/university study without earning a degree,Employed,10.0,15.0,"Developer, back-end","1,000 to 4,999 employees",People manager,Remote,Fintech,France,EUR European Euro,HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,PostgreSQL,92812.0
